,TILL_NR,ORG.NR/PERS.NR,NAVN,ADRESSE,POSTNR,POSTSTED,TILDELINGSTIDSPUNKT,TIDSBEGRENSET,TILL_KOMNR,TILL_KOM,FORMÅL,PRODUKSJONSFORM,ART,TILL_KAP,TILL_ENHET,LOK_NR,LOK_NAVN,LOK_KOMNR,LOK_KOM,LOK_PLASS,VANNMILJØ,LOK_KAP,LOK_ENHET,N_GEOWGS84,Ø_GEOWGS84,PROD_OMR
387,F A 0036,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,17.03.1993,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"1 051,00",TN,29557,KOMAGNES,5406,HAMMERFEST,SJØ,SALTVANN,"7 560,00",TN,70.4793,23.634217,12.0
390,F A 0036,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,17.03.1993,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"1 051,00",TN,31917,KIRKENESET,5406,HAMMERFEST,SJØ,SALTVANN,"2 700,00",TN,70.713367,23.827433,12.0
393,F A 0038,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,15.01.1982,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,37557,DAVATLUFT,5403,ALTA,SJØ,SALTVANN,"5 670,00",TN,70.245383,22.87385,12.0
396,F A 0038,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,15.01.1982,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,38857,VANNFJORDEN,5435,NORDKAPP,SJØ,SALTVANN,"5 670,00",TN,71.017783,25.38915,12.0
399,F A 0038,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,15.01.1982,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,27015,KJØSEN,5432,LOPPA,SJØ,SALTVANN,"2 700,00",TN,70.140517,22.24615,12.0
402,F A 0038,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,15.01.1982,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,15462,SARNES,5435,NORDKAPP,SJØ,SALTVANN,"4 000,00",TN,70.98,25.747833,12.0
405,F A 0038,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,15.01.1982,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,15460,LAHOLMEN,5435,NORDKAPP,SJØ,SALTVANN,"7 095,00",TN,70.89355,25.55705,12.0
408,F A 0038,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,15.01.1982,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,13119,HESTEN,5403,ALTA,SJØ,SALTVANN,"2 700,00",TN,70.238067,23.40735,12.0
411,F A 0038,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,15.01.1982,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,10814,MÅRSANJARGA,5403,ALTA,SJØ,SALTVANN,"2 700,00",TN,70.239617,23.286883,12.0
414,F A 0039,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,26.03.1996,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"987,00",TN,10819,EIDSNES,5403,ALTA,SJØ,SALTVANN,"1 800,00",TN,70.091,22.755167,12.0
417,F A 0039,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,26.03.1996,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"987,00",TN,29557,KOMAGNES,5406,HAMMERFEST,SJØ,SALTVANN,"7 560,00",TN,70.4793,23.634217,12.0
420,F A 0039,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,26.03.1996,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"987,00",TN,10821,TUVAN,5403,ALTA,SJØ,SALTVANN,"3 480,00",TN,70.09005,22.705367,12.0
423,F A 0039,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,26.03.1996,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"987,00",TN,10822,RIVARBUKT,5403,ALTA,SJØ,SALTVANN,"3 480,00",TN,70.085867,22.6618,12.0
426,F A 0040,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,09.10.1984,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"984,00",TN,10819,EIDSNES,5403,ALTA,SJØ,SALTVANN,"1 800,00",TN,70.091,22.755167,12.0
429,F A 0040,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,09.10.1984,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"984,00",TN,29557,KOMAGNES,5406,HAMMERFEST,SJØ,SALTVANN,"7 560,00",TN,70.4793,23.634217,12.0
432,F A 0040,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,09.10.1984,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"984,00",TN,10821,TUVAN,5403,ALTA,SJØ,SALTVANN,"3 480,00",TN,70.09005,22.705367,12.0
435,F A 0040,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,09.10.1984,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"984,00",TN,10822,RIVARBUKT,5403,ALTA,SJØ,SALTVANN,"3 480,00",TN,70.085867,22.6618,12.0
438,F A 0040,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,09.10.1984,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"984,00",TN,24535,STORHOLMEN,5403,ALTA,SJØ,SALTVANN,"5 400,00",TN,70.3414,23.39285,12.0
441,F A 0041,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,13.08.1984,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"1 038,00",TN,24535,STORHOLMEN,5403,ALTA,SJØ,SALTVANN,"5 400,00",TN,70.3414,23.39285,12.0
444,F A 0041,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,13.08.1984,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"1 038,00",TN,29557,KOMAGNES,5406,HAMMERFEST,SJØ,SALTVANN,"7 560,00",TN,70.4793,23.634217,12.0
447,F A 0041,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,13.08.1984,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"1 038,00",TN,32617,YTRE KOVEN,5403,ALTA,SJØ,SALTVANN,"5 670,00",TN,70.1421,22.89265,12.0
